Latitude,Longitude,MedInc_scaled
36.8,-119.73,0.2246796595909022
36.21,-119.37,0.0652128936152604
38.65,-121.26,0.2860995020758334
34.08,-118.68,0.2409277113419125
40.77,-121.86,0.1381429221665908
37.34,-121.83,0.2473827947200728
33.91,-117.6,0.4646832457483345
34.28,-118.51,0.3383815395649716
38.64,-121.34,0.2245693162852926
32.79,-117.2,0.3169542489069116
37.62,-121.03,0.1400946193845602
34.06,-117.14,0.2395966952179969
32.82,-117.16,0.2887960166066675
32.85,-117.3,0.1815492200107585
34.02,-118.36,0.0838609122632791
37.69,-120.15,0.1637977407208176
33.98,-118.33,0.0929159597798651
34.13,-117.9,0.1834319526627219
34.06,-118.62,0.4758692983545055
35.06,-120.61,0.2839133253334437
32.75,-117.1,0.1037020179032013
33.78,-117.78,0.6669908001268949
34.09,-118.32,0.1058054371663839
37.32,-121.99,0.290230479579592
39.37,-121.24,0.130253375815506
33.36,-115.73,0.0877780996124191
33.99,-116.99,0.2921132122315554
33.63,-117.91,0.1861077778237542
38.33,-122.23,0.3473676225155516
34.0,-118.15,0.1821147294520075
32.96,-117.12,0.3805188893946291
38.02,-122.25,0.3586295361443291
38.27,-122.07,0.2661135708472987
32.76,-117.13,0.1109984689866346
34.07,-117.68,0.0883229196838664
39.16,-121.62,0.1348740017379071
37.43,-122.2,0.4736624322423139
35.38,-119.02,0.0210686749148287
33.15,-117.09,0.2052730307168177
37.27,-121.99,0.4895173859670901
37.34,-122.06,0.3109060564681866
33.95,-118.21,0.1237982924373457
34.03,-118.29,0.0170618336298809
33.88,-118.3,0.2450793782154729
39.77,-121.61,0.1698666225293444
33.21,-117.35,0.2586240189790486
32.77,-115.52,0.1201224810692266
37.27,-121.86,0.3577674790692542
34.07,-117.74,0.1744458697121419
34.22,-118.62,0.2476517565274962
33.64,-117.93,0.140011861905353
33.82,-118.08,0.3966841836664322
36.37,-121.66,0.3908152990993228
37.53,-122.3,0.3403539261527428
34.12,-118.08,0.2195004206838526
33.91,-118.02,0.3395608336436739
33.89,-118.24,0.11612943269748
38.44,-122.78,0.2397691066330119
32.73,-117.04,0.2102936511220535
