Latitude,Longitude,MedInc_scaled,cluster
32.71,-117.03,0.19032151280671994,0
33.77,-118.16,0.22845202135142967,2
34.66,-120.48,0.2521620391442877,3
32.69,-117.11,0.09948828292023558,0
36.78,-119.8,0.2106384739520834,3
37.42,-121.86,0.4222562447414519,1
34.04,-117.97,0.13926014813588783,2
37.91,-122.53,0.516496324188632,1
34.13,-117.9,0.06897146246258673,2
34.02,-117.79,0.40873229334767797,2
37.72,-122.45,0.2563274989310493,1
33.97,-118.35,0.11933628501675843,2
37.46,-119.72,0.16379774072081765,3
37.33,-121.88,0.11015710128136165,1
34.18,-118.34,0.1594874553454435,2
33.89,-118.23,0.18391470462476384,2
36.67,-121.65,0.1649977241693218,1
38.03,-121.34,0.2694031806457842,5
34.32,-118.43,0.2574516213569469,2
33.93,-118.28,0.06434394008358507,2
34.16,-117.34,0.1167983889877381,2
37.24,-121.98,0.5546544185597441,1
38.94,-123.15,0.15290823574847245,4
33.98,-118.28,0.07414380491303568,2
40.89,-122.31,0.12126729286492603,4
37.89,-122.28,0.33911256396463496,1
39.48,-121.57,0.02243417332174729,5
34.08,-118.26,0.2071695562819823,2
33.8,-118.07,0.23305195790402894,2
36.06,-120.79,0.13711535013310167,3
33.12,-117.07,0.1532185762954994,0
34.55,-118.01,0.24627936166397713,2
33.99,-118.4,0.16034951242051837,2
34.08,-118.06,0.13875670680404406,2
32.79,-117.01,0.20290754610281242,0
33.88,-118.11,0.21305913021889356,2
40.66,-122.36,0.10427442380105102,4
33.97,-118.21,0.1855284754693039,2
33.86,-118.06,0.3157128867188039,2
33.65,-117.92,0.032434035392615274,2
34.1,-118.47,0.7377760306754391,2
34.1,-118.03,0.23724500351719285,2
33.93,-117.41,0.24245872470724544,2
33.97,-118.38,0.38062233624363806,2
33.76,-118.02,0.2157901270327306,2
32.95,-117.05,0.18875601715838403,0
38.55,-121.51,0.1615012206728183,5
33.91,-118.07,0.18591467703893744,2
33.6,-117.7,0.18021820388684295,2
34.17,-118.14,0.2449966207362657,2
34.07,-118.26,0.131301637218797,2
37.94,-122.07,0.27414104633039543,1
39.76,-121.65,0.17241831147156594,4
32.77,-117.01,0.14950828264437732,0
34.06,-118.35,0.18904566833560915,2
33.5,-117.7,0.5695921435566407,2
37.82,-122.08,0.7477276175501029,1
33.9,-118.24,0.048854498558640574,2
34.04,-118.36,0.15805299237251902,2
32.8,-117.24,0.16730114067392177,0
32.72,-117.14,0.10710197100729647,0
34.18,-118.14,0.19357664032220245,2
38.96,-122.63,0.08621260396408327,4
36.66,-118.96,0.18596295223514164,3
37.56,-122.27,0.35818126646529014,1
34.15,-118.23,0.3335816057709549,2
33.68,-117.89,0.19592833202300658,2
33.99,-118.32,0.10192962855684749,2
33.77,-118.18,0.04471662459828141,2
33.98,-117.47,0.30956124743106994,2
37.32,-122.27,0.3375953435125033,1
33.81,-118.18,0.08621260396408327,2
32.75,-117.09,0.05025447924856209,0
37.38,-121.85,0.32700238617398386,1
38.61,-121.32,0.15683231955421306,5
37.97,-121.25,0.08893670432131973,5
33.84,-117.93,0.18828705810954333,2
34.88,-117.13,0.12671549357939893,2
33.95,-118.14,0.21817630101653773,2
36.97,-122.13,0.2909546075226549,1
34.06,-118.06,0.14319802485482958,2
37.86,-122.27,0.15113584640211858,1
34.19,-118.47,0.3167542516654943,2
38.71,-121.44,0.20779023737603625,5
37.99,-121.79,0.36083640225652064,1
34.02,-118.17,0.13448780016827355,2
32.75,-117.16,0.17038385677438933,0
34.1,-118.29,0.16839767727341692,2
38.11,-122.6,0.3376712045351099,1
37.81,-121.99,0.30357512310175033,1
33.78,-117.91,0.17552171694183533,2
37.8,-121.21,0.06795768334229874,5
38.03,-121.25,0.42486310533647814,5
34.05,-118.49,0.45024206562668107,2
33.63,-117.67,0.2694031806457842,2
33.67,-118.0,0.2974165873574158,2
33.99,-117.37,0.08172990717369417,2
36.73,-119.79,0.10172963131543016,3
38.13,-121.29,0.31034744348353815,5
33.83,-118.19,0.4101253775809989,2
34.61,-120.16,0.17369415594267668,3
37.4,-120.84,0.14630832678169958,5
32.76,-117.18,0.1482324381732666,0
33.14,-117.08,0.21008675742403554,0
37.85,-122.24,0.3078854084771245,1
40.89,-124.01,0.1348946911077089,4
40.77,-122.96,0.1923559675038965,4
33.86,-118.27,0.22390725645163517,2
36.55,-121.91,0.3603329609246769,1
37.71,-121.96,0.46547633825740337,1
34.1,-118.18,0.30504406835767783,2
33.73,-117.81,0.21185914677038936,2
33.77,-118.15,0.2089143598019338,2
37.48,-122.23,0.15841160811575017,1
38.37,-121.98,0.16164604626143086,1
37.96,-121.7,0.19181804388904983,1
33.67,-117.33,0.0978952014454973,0
38.01,-122.24,0.38001544806278537,1
37.36,-121.98,0.28017544585591925,1
38.52,-121.47,0.052247555206135096,5
33.61,-117.89,0.31034744348353815,2
33.79,-117.76,0.5355374408628847,2
37.75,-122.41,0.26132053350988266,1
34.04,-118.17,0.2133694707659205,2
35.33,-119.1,0.43165611508806784,3
36.88,-121.6,0.295264892898029,1
36.21,-119.35,0.07847477965821162,3
34.04,-118.33,0.2163694293871809,2
33.82,-117.95,0.26392739410490895,2
37.47,-122.15,0.1760113653604778,1
39.48,-121.79,0.19951448945531786,4
34.96,-120.44,0.1666735631232673,3
33.97,-118.39,0.3955186825009311,2
37.78,-122.42,0.11390877367208731,1
32.85,-117.2,0.2958028165128757,0
33.82,-117.89,0.31451979972690036,2
39.72,-121.82,0.06941283568502504,4
35.54,-117.84,0.3156025434131943,2
33.83,-117.91,0.042695962814306015,2
34.05,-118.39,0.24243803533744362,2
32.68,-117.08,0.05683369884553317,0
37.9,-122.05,0.2864029461662598,1
34.15,-117.2,0.49875863781189234,2
37.93,-122.08,0.31559564695659376,1
38.68,-121.38,0.24602419276975496,5
40.95,-124.16,0.18211472945200757,4
40.59,-124.15,0.1099226217569413,4
34.01,-118.43,0.4084978138232576,2
34.1,-117.84,0.23079681659563317,2
40.05,-123.78,0.11630874056909561,4
